Job_Title,Skill,Region,Sourced_Wage_2026,Markup_%,Quoted_Bill_2026,Bill_Rank,Field,Net_Margin_%
Business Analyst,Expert,Region 1,38.33,100,76.66,9,33,35.5
Business Analyst,Expert,Region 2,35.13,110,73.77,6,33,38.5
Business Analyst,Expert,Region 3,39.96,110,83.92,14,33,38.5
Cloud Engineer,Expert,Region 1,44.71,110,93.89,11,33,38.5
Cloud Engineer,Expert,Region 2,44.71,110,93.89,15,33,38.5
Cloud Engineer,Expert,Region 3,47.51,110,99.77,14,33,38.5
Database Administrator,Expert,Region 1,43.93,100,87.86,24,33,35.5
Database Administrator,Expert,Region 2,43.82,100,87.64,23,33,35.5
Database Administrator,Expert,Region 3,47.38,100,94.76,24,33,35.5
Database Architect,Expert,Region 1,44.71,110,93.89,11,33,38.5
Database Architect,Expert,Region 2,44.71,110,93.89,14,33,38.5
Database Architect,Expert,Region 3,46.31,110,97.25,12,33,38.5
Database Manager,Expert,Region 1,46.58,100,93.16,20,33,35.5
Database Manager,Expert,Region 2,46.58,100,93.16,22,33,35.5
Database Manager,Expert,Region 3,49.02,100,98.04,19,33,35.5
Graphic Designer,Expert,Region 1,28.01,110,58.82,11,33,38.5
Graphic Designer,Expert,Region 2,29.28,110,61.49,13,33,38.5
Graphic Designer,Expert,Region 3,32.31,110,67.85,14,33,38.5
Help Desk Manager,Expert,Region 1,33.98,100,67.96,22,33,35.5
Help Desk Manager,Expert,Region 2,36.19,100,72.38,25,33,35.5
Help Desk Manager,Expert,Region 3,39.23,100,78.46,26,33,35.5
IT Manager,Expert,Region 1,49.02,100,98.04,25,33,35.5
IT Manager,Expert,Region 2,47.38,100,94.76,24,33,35.5
IT Manager,Expert,Region 3,49.02,100,98.04,22,33,35.5
IT Specialist,Expert,Region 1,43.15,110,90.61,21,33,38.5
IT Specialist,Expert,Region 2,44.71,100,89.42,19,33,35.5
IT Specialist,Expert,Region 3,44.71,110,93.89,16,33,38.5
Network Administrator,Expert,Region 1,42.59,100,85.18,25,33,35.5
Network Administrator,Expert,Region 2,42.98,100,85.96,27,33,35.5
Network Administrator,Expert,Region 3,43.38,100,86.76,23,33,35.5
Network Architect,Expert,Region 1,43.92,110,92.23,13,33,38.5
