Job_Title,Skill_Level,Historical_2021_Rate,Bid_Year_2026_Rate,Target_Year_2029_Rate,Markup_Pct,Net_Margin_Pct,Bill_Rank_2026
Business Analyst,Junior,33.52,41.34,44.29,100,35.5,21
Business Analyst,Mid-Level,39.62,48.87,52.36,110,38.5,5
Business Analyst,Senior,55.31,68.22,73.1,100,35.5,18
Business Analyst,Expert,63.36,78.14,83.72,110,38.5,21
Cloud Engineer,Junior,35.2,43.41,46.51,110,38.5,8
Cloud Engineer,Mid-Level,54.55,67.28,72.09,100,35.5,18
Cloud Engineer,Senior,65.37,80.62,86.38,100,35.5,16
Cloud Engineer,Expert,73.91,91.16,97.67,110,38.5,11
Database Administrator,Junior,35.29,43.53,46.64,110,38.5,15
Database Administrator,Mid-Level,45.76,56.44,60.47,100,35.5,17
Database Administrator,Senior,56.67,69.9,74.9,100,35.5,10
Database Administrator,Expert,69.16,85.3,91.4,100,35.5,24
Database Architect,Junior,39.81,49.1,52.61,100,35.5,14
Database Architect,Mid-Level,52.85,65.18,69.84,110,38.5,16
Database Architect,Senior,66.06,81.48,87.3,110,38.5,16
Database Architect,Expert,73.91,91.16,97.67,110,38.5,11
Database Manager,Junior,37.41,46.14,49.44,110,38.5,17
Database Manager,Mid-Level,44.36,54.71,58.62,110,38.5,10
Database Manager,Senior,60.81,75.0,80.36,100,35.5,12
Database Manager,Expert,73.33,90.44,96.9,100,35.5,20
Graphic Designer,Junior,31.43,38.76,41.53,100,35.5,22
Graphic Designer,Mid-Level,36.96,45.59,48.85,110,38.5,20
Graphic Designer,Senior,42.82,52.81,56.58,110,38.5,15
Graphic Designer,Expert,46.3,57.1,61.18,110,38.5,11
Help Desk Manager,Junior,32.68,40.3,43.18,100,35.5,26
Help Desk Manager,Mid-Level,44.09,54.38,58.27,100,35.5,30
Help Desk Manager,Senior,49.28,60.78,65.12,100,35.5,26
Help Desk Manager,Expert,53.5,65.98,70.69,100,35.5,22
IT Manager,Junior,38.8,47.86,51.28,110,38.5,17
IT Manager,Mid-Level,48.62,59.96,64.24,100,35.5,19
IT Manager,Senior,67.05,82.7,88.61,100,35.5,30
IT Manager,Expert,77.17,95.18,101.98,100,35.5,25
IT Specialist,Junior,33.62,41.46,44.42,100,35.5,15
IT Specialist,Mid-Level,47.63,58.74,62.94,110,38.5,20
IT Specialist,Senior,59.3,73.14,78.37,100,35.5,18
IT Specialist,Expert,71.33,87.97,94.26,110,38.5,21
Network Administrator,Junior,33.62,41.46,44.42,100,35.5,18
Network Administrator,Mid-Level,41.9,51.68,55.37,100,35.5,17
Network Administrator,Senior,61.25,75.54,80.94,100,35.5,29
Network Administrator,Expert,67.05,82.7,88.61,100,35.5,25
Network Architect,Junior,35.2,43.41,46.51,110,38.5,8
Network Architect,Mid-Level,47.3,58.34,62.51,110,38.5,7
Network Architect,Senior,65.79,81.14,86.94,100,35.5,20
Network Architect,Expert,72.6,89.54,95.94,110,38.5,13
Operations Manager,Junior,34.3,42.31,45.33,110,38.5,13
Operations Manager,Mid-Level,46.3,57.1,61.18,110,38.5,20
