Contractor_Name,Federal_ID,Region,Job_Title,Skill_Level,Hourly_Wage_Rate,Hourly_Bill_Rate,Markup_Percent,Is_Our_Rate,Formula_Version
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Business Analyst,Junior,22.66,45.32,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Business Analyst,Junior,22.66,45.32,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Business Analyst,Junior,23.11,46.23,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Business Analyst,Mid-Level,28.06,56.11,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Business Analyst,Mid-Level,28.90,57.80,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Business Analyst,Mid-Level,29.77,59.53,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Business Analyst,Senior,33.23,66.46,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Business Analyst,Senior,34.23,68.45,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Business Analyst,Senior,35.25,70.49,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Business Analyst,Expert,36.34,72.68,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Business Analyst,Expert,37.43,74.86,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Business Analyst,Expert,38.55,77.11,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Cloud Engineer,Junior,30.59,61.18,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Cloud Engineer,Junior,30.90,61.80,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Cloud Engineer,Junior,32.14,64.27,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Cloud Engineer,Mid-Level,37.88,75.77,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Cloud Engineer,Mid-Level,39.02,78.03,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Cloud Engineer,Mid-Level,40.58,81.16,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Cloud Engineer,Senior,44.86,89.71,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Cloud Engineer,Senior,46.21,92.41,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Cloud Engineer,Senior,48.05,96.10,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Cloud Engineer,Expert,49.05,98.10,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Cloud Engineer,Expert,50.52,101.04,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Cloud Engineer,Expert,52.55,105.10,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Database Administrator,Junior,23.79,47.59,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Database Administrator,Junior,23.79,47.59,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Database Administrator,Junior,24.50,49.01,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 1,Database Administrator,Mid-Level,29.47,58.94,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 2,Database Administrator,Mid-Level,30.34,60.69,100.00,false,
AVENUES INTERNATIONAL INC.,22-3318743,Region 3,Database Administrator,Mid-Level,31.26,62.52,100.00,false,
